11827808,The Secret of the Nagas (Shiva Trilogy #2),Amish Tripathi,"Tripathi, Amish",,"=""9380658797""","=""97893806587""",4,4.02,Westland,Paperback,396,2011,2011,2015/08/05,2015/08/02,,,read,,,,1,,,0,,,,,
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",3,3.88,Pocket Books,Mass Market Paperback,736,2006,2000,2015/09/01,2015/08/02,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""0307277674""","=""9780307277671""",3,3.82,Anchor,Paperback,489,2006,2003,2015/08/03,2015/08/02,,,read,,,,1,,,0,,,,,
7913305,"The Immortals of Meluha (Shiva Trilogy, #1)",Amish Tripathi,"Tripathi, Amish",,"=""""","=""""",3,4.05,Westland ,Paperback,436,2010,2010,2015/08/08,2015/08/02,,,read,,,,1,,,0,,,,,
24709327,Scion of Ikshvaku (Ram Chandra #1),Amish Tripathi,"Tripathi, Amish",,"=""9385152149""","=""9789385152146""",3,3.77,Westland Publication,Paperback,354,2015,2015,2015/08/01,2015/08/02,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",4,4.55,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2015/08/08,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439554934""","=""9780439554930""",4,4.47,Scholastic Inc,Hardcover,320,1997,1997,,2015/08/08,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0545010225""","=""9780545010221""",4,4.62,Arthur A. Levine Books / Scholastic Inc.,Hardcover,759,2007,2007,,2015/08/08,,,read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439358078""","=""9780439358071""",4,4.49,Scholastic Inc.,Paperback,870,2004,2003,,2015/08/08,,,read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.55,Scholastic,Paperback,734,2002,2000,,2015/08/08,,,read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439064864""","=""9780439064866""",4,4.41,Arthur A. Levine Books / Scholastic Inc.,Hardcover,341,1999,1998,,2015/08/08,,,read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439785960""","=""9780439785969""",4,4.56,Scholastic Inc.,Paperback,652,2006,2005,,2015/08/08,,,read,,,,1,,,0,,,,,
43327,The Sky is Falling,Sidney Sheldon,"Sheldon, Sidney",,"=""0446610178""","=""9780446610179""",1,3.56,Time Warner,Paperback,399,2001,2000,2015/08/14,2015/08/14,,,read,,,,1,,,0,,,,,
